article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,wikidata_id,name_de,description_en,description_de
16125,John the Baptist,Male,-5,Jerusalem,,Israel,Asia,,,Religious Figure,Religion,Institutions,78,10702126,137207,29.0865,Q40662,Johannes der Täufer,1st-century Jewish itinerant preacher (Bible),christlicher Heiliger
30570,Trajan,Male,53,Italica,,Spain,Europe,37.44389,-6.04667,Politician,Government,Institutions,72,6299821,87498,29.0781,Q1425,Trajan,13th Roman Emperor (98–117),römischer Kaiser (reg. 98–117)
20787,Mary Magdalene,Female,1,Magdala,,Israel,Asia,32.825,35.5075,Religious Figure,Religion,Institutions,65,13657412,210114,29.0759,Q63070,Maria Magdalena,follower of Jesus (-100),Jüngerin von Jesus Christus aus dem Neuen Testament
13792,Heraclitus,Male,-535,Ephesus,,Turkey,Asia,37.94111,27.34194,Philosopher,Philosophy,Humanities,72,7690246,106809,29.0696,Q41155,Heraklit,Greek philosopher (late 6th/early 5th-century BC),griechischer vorsokratischer Philosoph
13151,Gilgamesh,Male,-3500,Other,,Iraq,Asia,,,Politician,Government,Institutions,54,9602219,177819,29.0492,Q159709,Gilgamesch,Sumerian ruler and protagonist of the Epic of Gilgamesh,mythischer König von Uruk
45080,Vasco da Gama,Male,1469,Sines,,Portugal,Europe,37.95472,-8.86444,Explorer,Explorers,Exploration,119,12831158,107825,29.0264,Q7328,Vasco da Gama,Portuguese explorer (c. 1460s – 1524),portugiesischer Seefahrer der Renaissance
1814,Adam Smith,Male,1723,Kirkcaldy,,United Kingdom,Europe,56.11073,-3.16737,Economist,Social Sciences,Science & Technology,111,20395667,183745,29.0105,Q9381,Adam Smith,Scottish moral philosopher and political economist (1723–1790),"schottischer Moralphilosoph, Aufklärer und Begründer der klassischen Nationalökonomie"
10128,Elizabeth I of England,Female,1533,London,,United Kingdom,Europe,51.48222,-0.00667,Politician,Government,Institutions,106,39290364,370664,29.0005,Q7207,Elisabeth I.,Queen of England and Ireland from 1558 to 1603,Königin von England (1558-1603)
13693,Horace,Male,-65,Venusia,,Italy,Europe,40.96177,15.81479,Writer,Language,Humanities,76,5211790,68576,29,Q6197,Horaz,Roman lyric poet (65 BC – 8 BC),römischer Dichter
18553,Louis XIV of France,Male,1638,Paris,,France,Europe,48.89806,2.09639,Politician,Government,Institutions,89,25431554,285748,28.9814,Q7742,Ludwig XIV.,King of France and of Navarre from 1643 to 1715 (1638-1715),König von Frankreich und Navarra von 1643 bis 1715
39356,Anne Boleyn,Female,1501,Norfolk or Kent,,United Kingdom,Europe,51.18348,0.11055,Companion,Companions,Public Figure,62,25342861,408756,28.9534,Q80823,Anne Boleyn,second wife of Henry VIII of England (died 1536),"zweite der sechs Ehefrauen König Heinrichs VIII., Mutter von Elisabeth I. (ca. 1501–1536)"
19914843,Ferdinand Magellan,Male,1480,Sabrosa,,Portugal,Europe,41.28444,-7.595,Explorer,Explorers,Exploration,120,14936167,124468,28.9393,Q1496,Ferdinand Magellan,Portuguese explorer in the service of Spain,portugiesischer Seefahrer
15641,Joseph Stalin,Male,1878,Gori,,Georgia,Asia,41.96667,44.1,Politician,Government,Institutions,134,42908561,320213,28.9317,Q855,Josef Stalin,leader of the Soviet Union from 1924 to 1953,"sowjetischer Diktator, Generalsekretär des ZK der Bolschewiki und KPdSU (1878–1953)"
21476519,Ramesses II,Male,-1303,Other,,Egypt,Africa,,,Politician,Government,Institutions,59,10524828,178387,28.9233,Q1523,Ramses II.,Egyptian third pharaoh of the Nineteenth Dynasty,3. altägyptischer Pharao der 19. Dynastie
11015252,Vladimir Lenin,Male,1870,Ulyanovsk,,Russia,Europe,54.31667,48.36667,Politician,Government,Institutions,137,27160642,198253,28.9211,Q1394,Wladimir Iljitsch Lenin,founding leader of the Soviet Union (1870–1924),russischer Revolutionär und Politiker (1870–1924)
94111,Leonidas I,Male,-540,Sparta,,Greece,Europe,37.08194,22.42361,Politician,Government,Institutions,57,11025629,193432,28.9027,Q44228,Leonidas I.,King of Sparta from c. 489 BC to 480 BC,König von Sparta
1130,Avicenna,Male,980,Bukhara,,Uzbekistan,Asia,39.76667,64.43333,Philosopher,Philosophy,Humanities,102,10026549,98300,28.8917,Q8011,Avicenna,"Persian polymath, physician and philosopher (c. 980–1037)","persischer Arzt, Naturwissenschaftler, Philosoph, Dichter, Jurist bzw. Faqīh, Mathematiker, Astronom, Alchemist, Musiktheoretiker und Politiker"
89728,Akhenaten,Male,-1380,Other,,Egypt,Africa,26,30,Politician,Government,Institutions,62,7197331,116086,28.856,Q81794,Echnaton,Egyptian pharaoh in 18th Dynasty,"Pharao des alten Ägyptens während des neuen Reiches, 18. Dynastie"
15745,Johannes Gutenberg,Male,1398,Mainz,,Germany,Europe,50,8.26667,Inventor,Invention,Science & Technology,108,11713571,108459,28.8535,Q8958,Johannes Gutenberg,German inventor and craftsman (1400-1468),Erfinder des Buchdrucks mit beweglichen Lettern
9808,Euripides,Male,-480,Salamis Island,,Greece,Europe,37.93333,23.5,Writer,Language,Humanities,65,5941148,91402,28.8391,Q48305,Euripides,Classical Athenian playwright,klassischer griechischer Dichter
75150,Seneca the Younger,Male,-4,Córdoba,,Spain,Europe,37.88333,-4.76667,Philosopher,Philosophy,Humanities,62,8549935,137902,28.8207,Q2054,Seneca,"Roman Stoic philosopher, statesman and dramatist (c. 4 BCE–65 CE)","römischer Philosoph, Dramatiker, Naturforscher, Politiker und Stoiker (1–65)"
2402,Albrecht Dürer,Male,1471,Nuremberg,,Germany,Europe,49.45,11.08333,Painter,Fine Arts,Arts,112,10212700,91185,28.8184,Q5580,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist (1471-1528)",deutscher Maler und Graphiker (1471–1528)
36812,Pericles,Male,-495,Athens,,Greece,Europe,37.96667,23.71667,Politician,Government,Institutions,63,7934375,125942,28.8129,Q80398,Perikles,"Athenian statesman, orator and general (c. 495 – 429 BC)",athenischer Staatsmann und General
51825,Sun Tzu,Male,-544,Qi,,China,Asia,,,Philosopher,Philosophy,Humanities,81,6622800,81763,28.7957,Q37151,Sunzi,6th century BCE Chinese general and military strategist,chinesischer General und Militärstratege
13621,Hadrian,Male,76,Italica,,Spain,Europe,37.44389,-6.04667,Politician,Government,Institutions,64,6885963,107593,28.7796,Q1427,Hadrian,14th Roman Emperor (117–138),vierzehnter römische Kaiser
59172,Judas Iscariot,Male,-1,Other,,Unknown,,,,Religious Figure,Religion,Institutions,63,11142102,176859,28.7693,Q81018,Judas Ischariot,"notable as betrayer of Jesus, one of Jesus's original twelve disciples",in der Bibel der Verräter Jesu
19960,Mark Antony,Male,-83,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,61,9040703,148208,28.7531,Q51673,Marcus Antonius,Roman politician and general (83 BC – 30 BC),römischer Politiker und Feldherr
